192, 376, 109.02560603756869
221, 366, 132.70938995736148
247, 342, 127.5685920288275
273, 322, 140.19442890773482
293, 298, 150.01836063115067
308, 272, 116.56505117707799
336, 258, 90.0
365, 258, 58.392497753751094
391, 274, 27.4075754378184
405, 301, 23.19859051364819
417, 329, 36.52885536698516
437, 356, 70.3461759419467
465, 366, 105.94539590092285
493, 358, 132.3974377975002
516, 337, 150.94539590092288
531, 310, 138.81407483429035
552, 286, 130.8150838748816
574, 267, 109.65382405805333
602, 257, 91.97493401088198
631, 256, 30.96375653207352
646, 281, 30.96375653207352
