780, 442, -86.53177074108285
747, 444, -82.87498365109819
715, 448, -80.21759296819272
686, 453, -86.05481377096244
657, 455, -86.05481377096244
628, 457, -84.14398641457105
589, 461, -90.0
553, 461, -90.0
516, 461, -90.0
487, 461, -91.8476102659946
456, 460, -100.17551084304321
417, 453, -105.42216131873867
388, 445, -107.24145939893998
359, 436, -107.96913974015702
322, 424, -131.0090869015702
299, 404, -137.38594403038883
276, 379, -153.43494882292202
262, 351, -167.6609127216738
255, 319, -160.34617594194668
245, 291, 180.0
245, 262, 176.42366562500266
247, 230, 167.6609127216738
254, 198, 158.55226367289467
265, 170, 143.13010235415598
283, 146, 158.83874018317172
295, 115, 127.23483398157467
320, 96, 130.03025927188972
345, 75, 104.4702941000659
376, 67, 97.59464336859145
406, 63, 97.35237935989237
437, 59, 97.85331330197823
466, 55, 91.43209618416466
506, 54, 80.78897345918335
543, 60, 50.440332031005504
566, 79, 55.78429786756261
591, 96, 43.87669728592457
616, 122, 28.072486935852954
632, 152, 29.054604099077146
647, 179, 21.161259816828277
659, 210, 7.907162702958458
664, 246, 5.9061411137704996
667, 275, -1.9749340108819768
666, 304, -8.880659150520245
661, 336, -25.016893478100023
647, 366, -61.26020470831195
616, 383, -78.99645914825051
580, 390, -60.94539590092286
553, 405, -80.78897345918335
516, 411, -86.05481377096244
487, 413, -91.97493401088198
458, 412, -107.92791976200725
424, 401, -109.74683660542613
385, 387, -132.70938995736148
359, 363, -133.66778014613035
337, 342, -159.22774531795417
326, 313, -172.40535663140858
322, 283, -171.2538377374448
316, 244, 178.09084756700364
317, 214, 167.27564431457762
324, 183, 138.99091309842981
344, 160, 133.7811247648687
368, 137, 131.0090869015702
391, 117, 99.46232220802563
421, 112, 90.0
450, 112, 77.27564431457763
481, 119, 61.92751306414704
511, 135, 32.61924307119283
527, 160, 23.428692808745403
540, 190, 18.970407808486545
551, 222, 5.710593137499643
554, 252, -35.53767779197438
534, 280, -35.53767779197438
